Lead Back-end Engineer	Technical
Professor of Iron Metallurgy	Other
Product and Business Development Manager (MBA Intern)	Business
Co-Founder and Initiator	Business
Recruiter & CEO/CTO	Business
Brand Manager, Product Development	Marketing
Chief Financial Officer and Executive Vice President	Business
Manager - Consulting, Product Manager - Performance Reporting	Technical
Product Design & Marketing Guy	Marketing
IT Manager and Tech Director	Technical
HR Roles	Other
Vice President and General Manager of the Consumer Products and the Performance Materials	Business
GM - Southwest Denver (Price Club)	Business
Team Lead, DART Search	Other
Vice President of Scientific and Medical Affairs	Business
Financial & Controllership Positions	Business
Software Development Engineer, Mobile	Technical
SVP, Core Laboratory Diagnostics, Commercial Operations	Business
Senior Vice President & Chief Knowledge Officer	Business
Senior Segment Marketing Manager	Marketing
Medical Assistance Supervisor	Other
Co-founder; Chief Merchandising Officer	Business
Instrument Division Chief	Other
Director of Engineering & Site Manager	Business
Real Estate Investment	Business
Vice President Quality, Learning & Development	Business
VP Emerging Technology Partnerships	Business
Founder & Country Coordinator for India	Business
Chief of AI Dataset	Technical
Senior Offering Manager	Business
Global Client Director	Business
Learning Designer, CEO	Business
General Manager - Fintech	Business
Business Support Admin	Business
COO, CFO & Director-Level Consultant	Business
Financials & Tactics	Business
Sr. Director Sales- Development & Analytical Solutions	Sales
Attraction and development executive and area manager	Business
Associate Director, CoMotion Labs	Business
Director, Clinical Neuroscience	Business
Head of Media & Solutions department, Partner	Business
Media Services Manager	Marketing
Freelance SMM-manager	Other
Executive Vice-President Depositors, Strategy and Chief Operations Officer	Business
Member of the Board of Directors of Technology Committee	Business
Founder / Technology	Business
MD, Software & Services	Technical
Director of Accounting and FINOP	Business
Technical Leadership Associate	Technical
Head - Performance Engineering	Technical
CEO - Commercialisation	Business
Head of Security & Compliance	Business
Director of Product, Marketing, and New Business	Business
Staff Cloud Solutions Architect	Technical
Director Of Facilities	Business
SVP & Director - R&D	Business
Supervisor of External Research Institutes & Head of the Industrial Galenics Laboratories	Business
President & Director of Sales	Sales
Chief Legal Officer, General Counsel, and Corporate Secretary	Other
Director, Product & Creative	Business
Manager Strategy - Engineering & Geospatial	Technical
Chairman, Technical Council	Business
IT Research Analyst	Technical
Global Health Consultant	Other
Managing Partner, ZMT Ventures	Business
VP-Head of IT Security	Business
Board Member and Membership Chair	Business
Engineering Manager, Principal Data Scientist	Technical
Product Manager (MJML) at Mailjet	Technical
Vice President of Technology - Platform Development	Business
